year,team,league,total_games,wins,losses,ties,season_win_loss_%,pythagorean_win_loss_%,division_finish,division_game_back,runs_for,runs_against,season_total_attendance,average_batter_age,average_pitcher_age,number_of_batters,number_of_pitchers,top_player,manager
1999,BOS,AL East,162,94,68,0,0.58,0.569,2nd of 5,4,836,718,2446162,28.9,30.1,48,25,P.Martinez (9.8),J.Williams (94-68)
1998,BOS,AL East,162,92,70,0,0.568,0.583,2nd of 5,22,876,729,2314704,28.8,29.5,47,23,N.Garciaparra (7.1),J.Williams (92-70)
1997,BOS,AL East,162,78,84,0,0.481,0.497,4th of 5,20,851,857,2226136,28,27.8,46,25,N.Garciaparra (6.6),J.Williams (78-84)
1996,BOS,AL East,162,85,77,0,0.525,0.503,3rd of 5,7,928,921,2315231,28.4,28.7,55,23,R.Clemens (7.8),K.Kennedy (85-77)
1995,BOS,AL East,144,86,58,0,0.597,0.557,1st of 5,--,791,698,2164410,28.6,29.1,53,26,J.Valentin (8.3),K.Kennedy (86-58)
2019,TOR,AL East,162,67,95,0,0.414,0.44,4th of 5,36,726,828,1750144,25.9,28,61,39,M.Stroman (3.2),C.Montoyo (67-95)
2018,TOR,AL East,162,73,89,0,0.451,0.427,4th of 5,35,709,832,2325281,29,29.3,63,36,K.Pillar (2.5),J.Gibbons (73-89)
2017,TOR,AL East,162,76,86,0,0.469,0.444,4th of 5,17,693,784,3203886,31,28.8,60,34,M.Stroman (5.5),J.Gibbons (76-86)
2016,TOR,AL East,162,89,73,0,0.549,0.56,2nd of 5,4,759,666,3392099,30.1,29.8,49,29,J.Donaldson (7.6),J.Gibbons (89-73)
2015,TOR,AL East,162,93,69,0,0.574,0.628,1st of 5,--,891,670,2794891,29.6,29.2,52,28,J.Donaldson (8.5),J.Gibbons (93-69)
2014,TOR,AL East,162,83,79,0,0.512,0.524,3rd of 5,13,723,686,2375525,29.2,29.6,55,27,J.Bautista (6.7),J.Gibbons (83-79)
2013,TOR,AL East,162,74,88,0,0.457,0.473,5th of 5,23,712,756,2536562,29,30.9,53,31,C.Rasmus (4.9),J.Gibbons (74-88)
2012,TOR,AL East,162,73,89,0,0.451,0.459,4th of 5,22,716,784,2099663,27.8,27.8,54,34,E.Encarnacion (5.0),J.Farrell (73-89)
2011,TOR,AL East,162,81,81,0,0.5,0.489,4th of 5,16,743,761,1818103,28.3,27.6,53,30,J.Bautista (8.3),J.Farrell (81-81)
2010,TOR,AL East,162,85,77,0,0.525,0.517,4th of 5,11,755,728,1495482,29.3,28,44,24,J.Bautista (7.0),C.Gaston (85-77)
2009,TOR,AL East,162,75,87,0,0.463,0.516,4th of 5,28,798,771,1876129,29.9,28.4,44,24,R.Halladay (6.9),C.Gaston (75-87)
2008,TOR,AL East,162,86,76,0,0.531,0.572,4th of 5,11,714,610,2399786,31,28.6,43,19,R.Halladay (6.2),J.Gibbons (35-39) and C.Gaston (51-37)
2007,TOR,AL East,162,83,79,0,0.512,0.534,3rd of 5,13,753,699,2360644,30.5,27.3,46,23,A.Rios (5.6),J.Gibbons (83-79)
2006,TOR,AL East,162,87,75,0,0.537,0.532,2nd of 5,10,809,754,2302212,28.6,28.1,42,21,V.Wells (6.2),J.Gibbons (87-75)
2005,TOR,AL East,162,80,82,0,0.494,0.543,3rd of 5,15,775,705,2014995,28,28.2,37,18,R.Halladay (5.5),J.Gibbons (80-82)
2004,TOR,AL East,161,67,94,0,0.416,0.439,5th of 5,33.5,719,823,1900041,28,28.6,47,25,O.Hudson (5.2),C.Tosca (47-64) and J.Gibbons (20-30)
2003,TOR,AL East,162,86,76,0,0.531,0.536,3rd of 5,15,894,826,1799458,28.4,29,40,22,R.Halladay (8.0),C.Tosca (86-76)
2002,TOR,AL East,162,78,84,0,0.481,0.492,3rd of 5,25.5,813,828,1637900,27.2,27.4,45,24,R.Halladay (7.1),B.Martinez (20-33) and C.Tosca (58-51)
2001,TOR,AL East,162,80,82,0,0.494,0.508,3rd of 5,16,767,753,1915438,28.2,28.5,41,20,C.Delgado (4.5),B.Martinez (80-82)
2000,TOR,AL East,162,83,79,0,0.512,0.476,3rd of 5,4.5,861,908,1705712,28.1,28.9,45,22,C.Delgado (7.3),J.Fregosi (83-79)
1999,TOR,AL East,162,84,78,0,0.519,0.511,3rd of 5,14,883,862,2163464,28.3,27.9,53,22,S.Green (6.4),J.Fregosi (84-78)
1998,TOR,AL East,163,88,74,1,0.543,0.528,3rd of 5,26,816,768,2454303,28.9,30.3,41,20,R.Clemens (8.1),T.Johnson (88-74)
1997,TOR,AL East,162,76,86,0,0.469,0.473,5th of 5,22,654,694,2589297,29.6,28.8,44,20,R.Clemens (12.1),C.Gaston (72-85) and M.Queen (4-1)
1996,TOR,AL East,162,74,88,0,0.457,0.475,4th of 5,18,766,809,2559573,28.6,28.3,40,20,P.Hentgen (8.6),C.Gaston (74-88)
1995,TOR,AL East,144,56,88,0,0.389,0.414,5th of 5,30,642,777,2826483,28.9,28.7,39,20,A.Leiter (5.7),C.Gaston (56-88)
2019,BAL,AL East,162,54,108,0,0.333,0.367,5th of 5,49,729,981,1307807,26.5,27.3,58,38,J.Means (4.6),B.Hyde (54-108)
2018,BAL,AL East,162,47,115,0,0.29,0.341,5th of 5,61,622,892,1564192,28.4,27.1,56,30,M.Machado (2.9),B.Showalter (47-115)
2017,BAL,AL East,162,75,87,0,0.463,0.444,5th of 5,18,743,841,2028424,28.6,28.2,50,26,J.Schoop (5.2),B.Showalter (75-87)
2016,BAL,AL East,162,89,73,0,0.549,0.518,2nd of 5,4,744,715,2172344,28.5,27.9,47,27,M.Machado (6.9),B.Showalter (89-73)
2015,BAL,AL East,162,81,81,0,0.5,0.513,3rd of 5,12,713,693,2281202,27.9,28.3,48,22,M.Machado (7.1),B.Showalter (81-81)
2014,BAL,AL East,162,96,66,0,0.593,0.578,1st of 5,--,705,593,2464473,28.3,27.7,44,20,S.Pearce (5.9),B.Showalter (96-66)
2013,BAL,AL East,162,85,77,0,0.525,0.523,3rd of 5,12,745,709,2357561,27.8,27.9,52,26,M.Machado (6.7),B.Showalter (85-77)
2012,BAL,AL East,162,93,69,0,0.574,0.505,2nd of 5,2,712,705,2102240,28,27.6,52,26,M.Wieters (4.1),B.Showalter (93-69)
2011,BAL,AL East,162,69,93,0,0.426,0.412,5th of 5,28,708,860,1755461,28.3,28.2,50,27,M.Wieters (5.2),B.Showalter (69-93)
2010,BAL,AL East,162,66,96,0,0.407,0.389,5th of 5,30,613,785,1733019,28.6,28.4,45,23,J.Guthrie (4.5),"D.Trembley (15-39), J.Samuel (17-34) and B.Showalter (34-23)"
2009,BAL,AL East,162,64,98,0,0.395,0.424,5th of 5,39,741,876,1907163,28.7,28.1,48,27,B.Bergesen (3.3),D.Trembley (64-98)
2008,BAL,AL East,161,68,93,0,0.422,0.452,5th of 5,28.5,782,869,1950075,30.1,27.9,46,26,N.Markakis (7.4),D.Trembley (68-93)
2007,BAL,AL East,162,69,93,0,0.426,0.437,4th of 5,27,756,868,2164822,30.4,29,49,27,E.Bedard (5.8),S.Perlozzo (29-40) and D.Trembley (40-53)
2006,BAL,AL East,162,70,92,0,0.432,0.428,4th of 5,27,768,899,2153139,30.4,27.9,46,24,M.Tejada (4.5),S.Perlozzo (70-92)
2005,BAL,AL East,162,74,88,0,0.457,0.458,4th of 5,21,729,800,2624740,31.5,28.3,46,20,B.Roberts (7.3),L.Mazzilli (51-56) and S.Perlozzo (23-32)
2004,BAL,AL East,162,78,84,0,0.481,0.507,3rd of 5,23,842,830,2744018,30.5,27.4,47,22,M.Tejada (7.4),L.Mazzilli (78-84)
2003,BAL,AL East,163,71,91,1,0.438,0.455,4th of 5,30,743,820,2454523,29.3,29.2,42,20,M.Mora (4.7),M.Hargrove (71-91)
2002,BAL,AL East,162,67,95,0,0.414,0.433,4th of 5,36.5,667,773,2682439,29.2,27.8,46,20,M.Mora (4.7),M.Hargrove (67-95)
2001,BAL,AL East,162,63,98,1,0.391,0.415,4th of 5,32.5,687,829,3094841,30.2,27.6,46,22,J.Conine (2.9),M.Hargrove (63-98)
2000,BAL,AL East,162,74,88,0,0.457,0.436,4th of 5,13.5,794,913,3297031,32.2,29.1,50,22,M.Mussina (5.6),M.Hargrove (74-88)
1999,BAL,AL East,162,78,84,0,0.481,0.52,4th of 5,20,851,815,3433150,32.5,30.1,43,21,B.Anderson (5.9),R.Miller (78-84)
1998,BAL,AL East,162,79,83,0,0.488,0.518,4th of 5,35,817,785,3684650,33.2,30.5,48,22,R.Palmeiro (6.3),R.Miller (79-83)
1997,BAL,AL East,162,98,64,0,0.605,0.58,1st of 5,--,812,681,3711132,31.7,30.7,39,17,M.Mussina (5.5),D.Johnson (98-64)
1996,BAL,AL East,163,88,74,1,0.543,0.523,2nd of 5,4,949,903,3646950,31.2,28.9,45,23,B.Anderson (6.9),D.Johnson (88-74)
1995,BAL,AL East,144,71,73,0,0.493,0.543,3rd of 5,15,704,640,3098475,30,29.3,46,23,M.Mussina (6.1),P.Regan (71-73)
2019,TBR,AL East,162,96,66,0,0.593,0.572,2nd of 5,7,769,656,1178735,27.2,27.8,57,33,C.Morton (5.0),K.Cash (96-66)
2018,TBR,AL East,162,90,72,0,0.556,0.547,3rd of 5,18,716,646,1154973,27.1,27.1,54,31,B.Snell (7.5),K.Cash (90-72)
2017,TBR,AL East,162,80,82,0,0.494,0.493,3rd of 5,13,694,704,1253619,28.3,27.6,53,31,K.Kiermaier (5.0),K.Cash (80-82)
2016,TBR,AL East,162,68,94,0,0.42,0.473,5th of 5,25,672,713,1286163,27.7,26.9,48,25,K.Kiermaier (5.5),K.Cash (68-94)
2015,TBR,AL East,162,80,82,0,0.494,0.501,4th of 5,13,644,642,1287054,28.5,26.7,51,27,K.Kiermaier (7.5),K.Cash (80-82)
2014,TBR,AL East,162,77,85,0,0.475,0.49,4th of 5,19,612,625,1446464,29.3,28.4,43,23,B.Zobrist (5.0),J.Maddon (77-85)
2013,TBR,AL East,163,92,71,0,0.564,0.537,2nd of 5,5.5,700,646,1510300,29.5,29,42,21,E.Longoria (6.2),J.Maddon (92-71)
2012,TBR,AL East,162,90,72,0,0.556,0.586,3rd of 5,5,697,577,1559681,29.7,28.1,43,18,D.Price (6.6),J.Maddon (90-72)
2011,TBR,AL East,162,91,71,0,0.562,0.564,2nd of 5,6,707,614,1529188,28.2,27.8,42,21,B.Zobrist (7.6),J.Maddon (91-71)
2010,TBR,AL East,162,96,66,0,0.593,0.596,1st of 5,--,802,649,1864999,27.5,28,37,17,E.Longoria (8.2),J.Maddon (96-66)
2009,TBR,AL East,162,84,78,0,0.519,0.529,3rd of 5,19,803,754,1874962,27.8,28.4,41,21,B.Zobrist (8.6),J.Maddon (84-78)
2008,TBR,AL East,162,97,65,0,0.599,0.565,1st of 5,--,774,671,1811986,27,27.5,46,21,C.Pena (5.1),J.Maddon (97-65)
2007,TBR,AL East,162,66,96,0,0.407,0.415,5th of 5,30,782,944,1387603,25.9,27,45,24,C.Pena (7.2),J.Maddon (66-96)
2006,TBR,AL East,162,61,101,0,0.377,0.402,5th of 5,36,689,856,1368950,27.3,27,49,25,C.Crawford (4.5),J.Maddon (61-101)
2005,TBR,AL East,162,67,95,0,0.414,0.4,5th of 5,28,750,936,1141669,27.5,27.4,43,21,C.Crawford (4.4),L.Piniella (67-95)
2004,TBR,AL East,161,70,91,0,0.435,0.425,4th of 5,30.5,714,842,1274911,28.1,27.5,48,24,C.Crawford (4.9),L.Piniella (70-91)
2003,TBR,AL East,162,63,99,0,0.389,0.42,5th of 5,38,715,852,1058695,26.3,26.4,51,24,A.Huff (4.0),L.Piniella (63-99)
2002,TBR,AL East,161,55,106,0,0.342,0.362,5th of 5,48,673,918,1065742,27.1,26.9,43,22,R.Winn (4.9),H.McRae (55-106)
2001,TBR,AL East,162,62,100,0,0.383,0.376,5th of 5,34,672,887,1298365,28.1,26.9,46,24,T.Sturtze (3.3),L.Rothschild (4-10) and H.McRae (58-90)
2000,TBR,AL East,161,69,92,0,0.429,0.437,5th of 5,18,733,842,1449673,30.1,29.3,51,24,G.Vaughn (3.2),L.Rothschild (69-92)
1999,TBR,AL East,162,69,93,0,0.426,0.424,5th of 5,29,772,913,1562827,30.2,29.6,46,24,F.McGriff (4.0),L.Rothschild (69-93)
1998,TBR,AL East,162,63,99,0,0.389,0.413,5th of 5,51,620,751,2506293,29.1,27.9,42,22,R.Arrojo (4.1),L.Rothschild (63-99)
2019,MIN,AL Central,162,101,61,0,0.623,0.599,1st of 5,--,939,754,2294152,27.8,28.2,50,31,J.Polanco (5.7),R.Baldelli (101-61)
2018,MIN,AL Central,162,78,84,0,0.481,0.478,2nd of 5,13,738,775,1959197,28.2,28.5,54,36,K.Gibson (3.9),P.Molitor (78-84)
2017,MIN,AL Central,162,85,77,0,0.525,0.515,2nd of 5,17,815,788,2051279,27.1,29.6,52,36,B.Buxton (5.1),P.Molitor (85-77)
2016,MIN,AL Central,162,59,103,0,0.364,0.406,5th of 5,35.5,722,889,1963912,26.9,28.3,49,29,B.Dozier (6.3),P.Molitor (59-103)
2015,MIN,AL Central,162,83,79,0,0.512,0.497,2nd of 5,12,696,700,2220054,28.3,29.1,44,24,K.Gibson (3.0),P.Molitor (83-79)
2014,MIN,AL Central,162,70,92,0,0.432,0.462,5th of 5,20,715,777,2250606,27.5,29.2,48,23,B.Dozier (5.2),R.Gardenhire (70-92)
2013,MIN,AL Central,162,66,96,0,0.407,0.388,4th of 5,27,614,788,2477644,28.3,28.3,44,23,J.Mauer (5.6),R.Gardenhire (66-96)
2012,MIN,AL Central,162,66,96,0,0.407,0.422,5th of 5,22,701,832,2776354,28.9,27.8,47,25,D.Span (4.9),R.Gardenhire (66-96)
2011,MIN,AL Central,162,63,99,0,0.389,0.383,5th of 5,32,619,804,3168116,27.5,28.5,45,24,S.Baker (4.3),R.Gardenhire (63-99)
2010,MIN,AL Central,162,94,68,0,0.58,0.569,1st of 5,--,781,671,3223640,28.4,28.6,42,21,J.Mauer (5.9),R.Gardenhire (94-68)
2009,MIN,AL Central,163,87,76,0,0.534,0.53,1st of 5,--,817,765,2416237,27.6,27.9,42,24,J.Mauer (7.8),R.Gardenhire (87-76)
2008,MIN,AL Central,163,88,75,0,0.54,0.549,2nd of 5,1,829,745,2302431,26.2,27.5,40,19,J.Mauer (5.6),R.Gardenhire (88-75)
2007,MIN,AL Central,162,79,83,0,0.488,0.496,3rd of 5,17,718,725,2296383,28.4,27.4,42,19,J.Santana (5.2),R.Gardenhire (79-83)
2006,MIN,AL Central,162,96,66,0,0.593,0.572,1st of 5,--,801,683,2285018,28.3,26.9,39,17,J.Santana (7.6),R.Gardenhire (96-66)
2005,MIN,AL Central,162,83,79,0,0.512,0.518,3rd of 5,16,688,662,2034243,27.6,27.9,37,15,J.Santana (7.2),R.Gardenhire (83-79)
2004,MIN,AL Central,162,92,70,0,0.568,0.54,1st of 5,--,780,715,1911490,27.8,28.2,42,18,J.Santana (8.8),R.Gardenhire (92-70)
2003,MIN,AL Central,162,90,72,0,0.556,0.525,1st of 5,--,801,758,1946011,27.2,29.7,42,20,A.Pierzynski (4.5),R.Gardenhire (90-72)
2002,MIN,AL Central,161,94,67,0,0.584,0.535,1st of 5,--,768,712,1924473,26.6,28.8,42,19,J.Jones (5.4),R.Gardenhire (94-67)
2001,MIN,AL Central,162,85,77,0,0.525,0.503,2nd of 5,6,771,766,1782929,26.2,27.4,42,21,J.Mays (6.6),T.Kelly (85-77)
2000,MIN,AL Central,162,69,93,0,0.426,0.426,5th of 5,26,748,880,1000760,26.5,26.6,41,17,B.Radke (6.2),T.Kelly (69-93)
1999,MIN,AL Central,161,63,97,1,0.394,0.406,5th of 5,33,686,845,1202829,26.8,26.3,37,18,B.Radke (6.5),T.Kelly (63-97)
1998,MIN,AL Central,162,70,92,0,0.432,0.451,4th of 5,19,734,818,1165976,29.9,28.7,38,17,B.Radke (5.2),T.Kelly (70-92)
1997,MIN,AL Central,162,68,94,0,0.42,0.45,4th of 5,18.5,772,861,1411064,29.2,28.1,39,18,C.Knoblauch (6.8),T.Kelly (68-94)
1996,MIN,AL Central,162,78,84,0,0.481,0.488,4th of 5,21.5,877,900,1437352,28.6,25.8,38,18,C.Knoblauch (8.7),T.Kelly (78-84)
1995,MIN,AL Central,144,56,88,0,0.389,0.394,5th of 5,44,703,889,1057667,27.4,25.7,46,22,C.Knoblauch (6.7),T.Kelly (56-88)
2019,CLE,AL Central,162,93,69,0,0.574,0.572,2nd of 5,8,769,657,1738642,27.8,28.3,54,30,S.Bieber (4.9),T.Francona (93-69)
2018,CLE,AL Central,162,91,71,0,0.562,0.605,1st of 5,--,818,648,1926701,29.4,29.4,49,27,J.Ramirez (7.9),T.Francona (91-71)
2017,CLE,AL Central,162,102,60,0,0.63,0.664,1st of 5,--,818,564,2048138,28.1,28.9,41,20,C.Kluber (8.2),T.Francona (102-60)
2016,CLE,AL Central,161,94,67,0,0.584,0.563,1st of 5,--,777,676,1591667,29,28.1,48,27,F.Lindor (5.9),T.Francona (94-67)
2015,CLE,AL Central,161,81,80,0,0.503,0.52,3rd of 5,13.5,669,640,1388905,28,27.3,49,27,J.Kipnis (4.6),T.Francona (81-80)
2014,CLE,AL Central,162,85,77,0,0.525,0.511,3rd of 5,5,669,653,1437393,28.6,27.2,46,23,C.Kluber (8.3),T.Francona (85-77)
2013,CLE,AL Central,162,92,70,0,0.568,0.554,2nd of 5,1,745,662,1572926,28.7,27.5,49,28,J.Kipnis (5.7),T.Francona (92-70)
2012,CLE,AL Central,162,68,94,0,0.42,0.393,4th of 5,20,667,845,1603596,27.8,27.6,48,24,J.Kipnis (3.9),M.Acta (65-91) and S.Alomar (3-3)
2011,CLE,AL Central,162,80,82,0,0.494,0.465,2nd of 5,15,704,760,1840835,27.8,26.7,46,22,A.Cabrera (4.7),M.Acta (80-82)
2010,CLE,AL Central,162,69,93,0,0.426,0.431,4th of 5,25,646,752,1391644,27.2,26.6,45,22,S.Choo (5.9),M.Acta (69-93)
2009,CLE,AL Central,162,65,97,0,0.401,0.449,4th of 5,21.5,773,865,1766242,27.4,27.8,52,29,S.Choo (5.5),E.Wedge (65-97)
2008,CLE,AL Central,162,81,81,0,0.5,0.526,3rd of 5,7.5,805,761,2169760,27.6,28.6,49,28,C.Lee (6.7),E.Wedge (81-81)
2007,CLE,AL Central,162,96,66,0,0.593,0.564,1st of 5,--,811,704,2275912,28,29.4,41,21,C.Sabathia (6.4),E.Wedge (96-66)
2006,CLE,AL Central,162,78,84,0,0.481,0.549,4th of 5,18,870,782,1997995,27.7,28.6,45,23,G.Sizemore (6.6),E.Wedge (78-84)
2005,CLE,AL Central,162,93,69,0,0.574,0.594,2nd of 5,6,790,642,2013763,27.5,29.2,38,17,G.Sizemore (6.6),E.Wedge (93-69)
2004,CLE,AL Central,162,80,82,0,0.494,0.501,3rd of 5,12,858,857,1814401,28.6,27.3,52,30,T.Hafner (5.0),E.Wedge (80-82)
2003,CLE,AL Central,162,68,94,0,0.42,0.451,4th of 5,22,699,778,1730002,27.1,26.3,54,29,M.Bradley (4.1),E.Wedge (68-94)
2002,CLE,AL Central,162,74,88,0,0.457,0.443,3rd of 5,20.5,739,837,2616940,30.4,28.1,59,31,J.Thome (7.4),C.Manuel (39-47) and J.Skinner (35-41)
2001,CLE,AL Central,162,91,71,0,0.562,0.54,1st of 5,--,897,821,3175523,31.1,29.1,44,24,R.Alomar (7.3),C.Manuel (91-71)
2000,CLE,AL Central,162,90,72,0,0.556,0.569,2nd of 5,5,950,816,3456278,30.1,30.2,55,32,R.Alomar (5.6),C.Manuel (90-72)
1999,CLE,AL Central,162,97,65,0,0.599,0.573,1st of 5,--,1009,860,3468456,29,30.6,51,25,R.Alomar (7.4),M.Hargrove (97-65)
1998,CLE,AL Central,162,89,73,0,0.549,0.54,1st of 5,--,850,779,3467299,29.4,29.8,48,23,K.Lofton (6.0),M.Hargrove (89-73)
1997,CLE,AL Central,161,86,75,0,0.534,0.529,1st of 5,--,868,815,3404750,30.2,29.7,46,21,J.Thome (5.5),M.Hargrove (86-75)
1996,CLE,AL Central,161,99,62,0,0.615,0.596,1st of 5,--,952,769,3318174,29.7,30.3,44,18,J.Thome (7.5),M.Hargrove (99-62)
1995,CLE,AL Central,144,100,44,0,0.694,0.644,1st of 5,--,840,607,2842745,29,30.6,41,20,A.Belle (7.0),M.Hargrove (100-44)
2019,CHW,AL Central,161,72,89,0,0.447,0.427,3rd of 5,28.5,708,832,1649775,27.6,27.6,47,27,L.Giolito (5.6),R.Renteria (72-89)
2018,CHW,AL Central,162,62,100,0,0.383,0.385,4th of 5,29,656,848,1608817,26.5,27.6,51,31,R.Lopez (3.1),R.Renteria (62-100)
2017,CHW,AL Central,162,67,95,0,0.414,0.432,4th of 5,35,706,820,1629470,26.7,28.7,51,31,J.Abreu (4.8),R.Renteria (67-95)
2016,CHW,AL Central,162,78,84,0,0.481,0.481,4th of 5,16.5,686,715,1746293,28.3,28.6,50,28,A.Eaton (6.1),R.Ventura (78-84)
2015,CHW,AL Central,162,76,86,0,0.469,0.446,4th of 5,19,622,701,1755810,28.2,27.8,40,24,J.Quintana (4.0),R.Ventura (76-86)
2014,CHW,AL Central,162,73,89,0,0.451,0.437,4th of 5,17,660,758,1650821,27.7,27.4,44,26,C.Sale (6.1),R.Ventura (73-89)
2013,CHW,AL Central,162,63,99,0,0.389,0.414,5th of 5,30,598,723,1768413,29.2,27.1,47,24,C.Sale (6.5),R.Ventura (63-99)
2012,CHW,AL Central,162,85,77,0,0.525,0.546,2nd of 5,3,748,676,1965955,30,27.5,45,25,C.Sale (5.6),R.Ventura (85-77)
2011,CHW,AL Central,162,79,83,0,0.488,0.465,3rd of 5,16,654,706,2001117,30,28.5,42,22,M.Buehrle (3.8),O.Guillen (78-82) and D.Cooper (1-1)
2010,CHW,AL Central,162,88,74,0,0.543,0.53,2nd of 5,6,752,704,2194378,30.7,29,40,20,A.Ramirez (5.6),O.Guillen (88-74)
2009,CHW,AL Central,162,79,83,0,0.488,0.495,3rd of 5,7.5,724,732,2284163,29.8,29.5,45,24,M.Buehrle (5.5),O.Guillen (79-83)
2008,CHW,AL Central,163,89,74,0,0.546,0.549,1st of 5,--,811,729,2500648,30.6,28.3,39,19,J.Danks (6.4),O.Guillen (89-74)
2007,CHW,AL Central,162,72,90,0,0.444,0.413,4th of 5,24,693,839,2684395,29.8,27.7,43,21,J.Vazquez (6.1),O.Guillen (72-90)
2006,CHW,AL Central,162,90,72,0,0.556,0.541,3rd of 5,6,868,794,2957414,29.8,27.9,37,18,J.Thome (4.9),O.Guillen (90-72)
2005,CHW,AL Central,162,99,63,0,0.611,0.563,1st of 5,--,741,645,2342833,29.3,29.3,38,17,M.Buehrle (4.8),O.Guillen (99-63)
2004,CHW,AL Central,162,83,79,0,0.512,0.518,2nd of 5,9,865,831,1930537,28.6,28.2,42,22,A.Rowand (5.7),O.Guillen (83-79)
2003,CHW,AL Central,162,86,76,0,0.531,0.546,2nd of 5,4,791,715,1939524,29.4,27.9,40,20,E.Loaiza (7.2),J.Manuel (86-76)
2002,CHW,AL Central,162,81,81,0,0.5,0.532,2nd of 5,13.5,856,798,1676911,28.9,25.8,35,16,M.Ordonez (5.1),J.Manuel (81-81)
2001,CHW,AL Central,162,83,79,0,0.512,0.502,3rd of 5,8,798,795,1766172,28.5,26.2,42,21,M.Buehrle (6.0),J.Manuel (83-79)
2000,CHW,AL Central,162,95,67,0,0.586,0.57,1st of 5,--,978,839,1947799,27.6,26.5,42,22,F.Thomas (6.0),J.Manuel (95-67)
1999,CHW,AL Central,162,75,86,1,0.466,0.448,2nd of 5,21.5,777,870,1338851,25.8,26.4,40,21,M.Ordonez (5.8),J.Manuel (75-86)
1998,CHW,AL Central,163,80,82,1,0.494,0.464,2nd of 5,9,861,931,1391146,27.4,26.4,39,20,A.Belle (7.1),J.Manuel (80-82)
1997,CHW,AL Central,161,80,81,0,0.497,0.469,2nd of 5,6,779,833,1864782,29.3,29.4,45,22,F.Thomas (7.3),T.Bevington (80-81)
1996,CHW,AL Central,162,85,77,0,0.525,0.556,2nd of 5,14.5,898,794,1676403,30.6,27.8,44,22,A.Fernandez (6.4),T.Bevington (85-77)
1995,CHW,AL Central,145,68,76,1,0.472,0.498,3rd of 5,32,755,758,1609773,29.5,27.6,46,26,F.Thomas (5.3),G.Lamont (11-20) and T.Bevington (57-56)
2019,KCR,AL Central,162,59,103,0,0.364,0.397,4th of 5,42,691,869,1479659,27.6,27.9,51,30,W.Merrifield (4.0),N.Yost (59-103)
2018,KCR,AL Central,162,58,104,0,0.358,0.38,5th of 5,33,638,833,1665107,28.6,27.6,49,27,W.Merrifield (5.5),N.Yost (58-104)
2017,KCR,AL Central,162,80,82,0,0.494,0.446,3rd of 5,22,702,791,2220370,28.9,30.3,49,29,L.Cain (5.4),N.Yost (80-82)
2016,KCR,AL Central,162,81,81,0,0.5,0.476,3rd of 5,13.5,675,712,2557712,28.5,29.9,42,21,I.Kennedy (3.9),N.Yost (81-81)
2015,KCR,AL Central,162,95,67,0,0.586,0.555,1st of 5,--,724,641,2708549,29.1,30,45,24,L.Cain (7.2),N.Yost (95-67)
2014,KCR,AL Central,162,89,73,0,0.549,0.519,2nd of 5,1,651,624,1956482,28.2,28.9,48,23,A.Gordon (6.5),N.Yost (89-73)
2013,KCR,AL Central,162,86,76,0,0.531,0.534,3rd of 5,7,648,601,1750754,26.9,28.9,43,21,J.Shields (4.4),N.Yost (86-76)
2012,KCR,AL Central,162,72,90,0,0.444,0.455,3rd of 5,16,676,746,1739859,26.1,27.3,46,25,A.Gordon (6.3),N.Yost (72-90)
2011,KCR,AL Central,162,71,91,0,0.438,0.48,4th of 5,24,730,762,1724450,25.8,26.4,42,23,A.Gordon (7.3),N.Yost (71-91)
2010,KCR,AL Central,162,67,95,0,0.414,0.399,5th of 5,27,676,845,1615327,28.9,27.5,46,25,J.Soria (3.7),T.Hillman (12-23) and N.Yost (55-72)
2009,KCR,AL Central,162,65,97,0,0.401,0.407,4th of 5,21.5,686,842,1797891,27.6,28.7,43,23,Z.Greinke (10.4),T.Hillman (65-97)
2008,KCR,AL Central,162,75,87,0,0.463,0.444,4th of 5,13.5,691,781,1578922,28,27.6,43,25,Z.Greinke (5.3),T.Hillman (75-87)
2007,KCR,AL Central,162,69,93,0,0.426,0.456,5th of 5,27,706,778,1616867,28,27.1,45,23,G.Meche (4.1),B.Bell (69-93)
2006,KCR,AL Central,162,62,100,0,0.383,0.388,5th of 5,34,757,971,1372638,29.7,27.7,55,31,M.Teahen (3.7),B.Bell (62-100)
2005,KCR,AL Central,162,56,106,0,0.346,0.371,5th of 5,43,701,935,1371181,28.1,25.7,46,22,D.DeJesus (4.4),"T.Pena (8-25), B.Schaefer (5-12) and B.Bell (43-69)"
2004,KCR,AL Central,162,58,104,0,0.358,0.397,5th of 5,34,720,905,1661478,29,27.4,58,25,Z.Greinke (3.7),T.Pena (58-104)
2003,KCR,AL Central,162,83,79,0,0.512,0.483,3rd of 5,7,836,867,1779895,29.2,28,53,29,D.May (5.9),T.Pena (83-79)
2002,KCR,AL Central,162,62,100,0,0.383,0.414,4th of 5,32.5,737,891,1323036,29.3,27.8,52,26,P.Byrd (5.6),"T.Muser (8-15), J.Mizerock (5-8) and T.Pena (49-77)"
2001,KCR,AL Central,162,65,97,0,0.401,0.426,5th of 5,26,729,858,1536371,28.2,27.3,44,19,C.Beltran (6.5),T.Muser (65-97)
2000,KCR,AL Central,162,77,85,0,0.475,0.474,4th of 5,18,879,930,1564847,27.6,25.8,44,24,J.Damon (6.2),T.Muser (77-85)
